5600  1.23554e+24  7.00001e+24  0.995166  0.000809379  6e+24  0.988185  0.00344661  244  1
5700  1.24066e+24  7.00001e+24  0.993647  0.00136609  6e+24  0.988767  0.0037773  243  1
5799.99  1.24066e+24  7.00001e+24  0.994654  0.00055501  6e+24  0.989132  0.00436781  243  1
5900  1.24583e+24  7.00001e+24  0.99363  0.00175365  6e+24  0.99061  0.00430526  242  1
6000.01  1.25105e+24  7.00001e+24  0.993052  0.00174605  6e+24  0.990915  0.00441869  241  1
6100  1.25105e+24  7.00001e+24  0.991371  0.00298952  6e+24  0.990703  0.00386623  241  1
6200  1.2563e+24  7.00001e+24  0.990611  0.0025986  6e+24  0.989911  0.00442749  240  1
6300.01  1.2563e+24  7.00001e+24  0.991576  0.00271701  6e+24  0.989946  0.00490907  240  1
6400  1.2563e+24  7.00001e+24  0.991675  0.00272375  6e+24  0.990841  0.00437121  240  1
6500.01  1.2616e+24  7.00001e+24  0.992185  0.00284769  6e+24  0.987593  0.00402791  239  1
6600  1.26695e+24  7.00001e+24  0.993546  0.0035437  6e+24  0.989087  0.00360158  238  1
6700  1.26695e+24  7.00001e+24  0.994375  0.00407761  6e+24  0.98784  0.00406692  238  1
6799.99  1.26695e+24  7.00001e+24  0.994178  0.00416457  6e+24  0.986235  0.00478755  238  1
6900  1.26695e+24  7.00001e+24  0.994234  0.00424103  6e+24  0.985979  0.00501217  238  1
7000.01  1.26695e+24  7.00001e+24  0.994332  0.00435883  6e+24  0.985899  0.00484944  238  1
7100  1.27234e+24  7.00001e+24  0.99479  0.00436935  6e+24  0.986064  0.00462414  237  1
7200  1.27234e+24  7.00001e+24  0.996155  0.00487868  6e+24  0.985981  0.00334822  237  1
7299.99  1.27778e+24  7.00001e+24  0.999503  0.00419458  6e+24  0.98545  0.00281985  236  1
7400  1.27778e+24  7.00001e+24  0.99935  0.00452966  6e+24  0.98635  0.00288152  236  1
7499.99  1.28879e+24  8e+24  0.999443  0.00385926  6e+24  0.985781  0.00304303  234  1
7600  1.28879e+24  8e+24  0.999018  0.00409086  6e+24  0.98668  0.0034771  234  1
7700  1.28879e+24  8e+24  0.999164  0.00382714  6e+24  0.985768  0.00357925  234  1
7800.01  1.28879e+24  8e+24  0.998913  0.00310738  6e+24  0.985097  0.00308  234  1
7900  1.28879e+24  8e+24  0.997889  0.00391373  6e+24  0.985479  0.00181114  234  1
