0.0451572 7.25948 8.51067e+27 8510.67 355403
0.191187 8.91671 7.16688e+27 7166.88 355403
0.0339514 12.6679 1.67526e+28 16752.6 355403
0.0029423 17.0567 2.95634e+27 2956.34 355403
0.159592 13.3345 3.67303e+27 3673.03 355403
0.0427928 14.494 6.80854e+27 6808.54 355403
0.173104 9.87936 2.23965e+27 2239.65 355403
0.0642656 11.1065 8.24191e+27 8241.91 355403
0.0189123 13.4816 5.82309e+27 5823.09 355403
0.0157934 3.41255 1.34379e+27 1343.79 355403
0.0312479 17.7725 1.70213e+27 1702.13 355403
0.066132 16.15 1.34379e+27 1343.79 355403
0.18466 11.657 1.16462e+27 1164.62 355403
0.0134945 18.1853 1.88131e+27 1881.31 355403
0.0739905 16.8344 2.06048e+27 2060.48 355403
0.132964 8.73667 9.85446e+26 985.446 355403
